;;вес;;;
;Взрывозащищенные камеры [50021071];5000;;;
;;;;;
; Оборудование для мониторинга [50021104] ;320;;;
; Рекордеры [50021074];2700;;;
; Встроенная DVR [50021075] ;2700;;;
; Аппаратное сжатие карт [50021079] ;500;;;
; Комплексная система управления [50021096] ;5000;;;
;PTZ оборудование для наблюдения [50021089];500;;;
; Мониторы [50021095];2000;;;
; Quad/ Квадраторы [50021080];500;;;
; Видео декодер [50021081] ;1000;;;
; Video Converter [50021083] ;500;;;
; Оптические [50021084] ;500;;;
;Тестер видеосигнала с монитором [50021090];1000;;;
; Приборы для видеонаблюдения с записью звуков [50021091] ;500;;;
;Видеоматрицы [50021076];300;;;
;Audio Switcher [50021092] ;1000;;;
; Звуковая карта захвата [50021093];400;;;
;Аудио детали [50021094];200;;;
; OSD контроль [50021082] ;500;;;
;;;;;
;;;;;
; Металлоискатели [50021154] ;4900;;;
; Приборы для осмотра транспортных средств с помощью зеркал [50021160];200;;;
; Детектор радиоволн [50021159] ;500;;;
;;;;;
;;;;;
; Инвертор [50020973] ;1000;;;
;Энергосберегающий контроллер [50020972] ;500;;;
;Приборы для измерения [50020974] ;500;;;
; Таймер [50020971] ;500;;;
;;;;;
;;;;;
; Выключатели [50013402] ;300;;;
; Одинарные переключатели/выключатели [50021013];500;;;
; Одинарные и мульти-переключатели [50021014];500;;;
; Другие коммутаторы/выключатели [50022496] ;500;;;
;Кнопки дверного звонка [50021018] ;;;;
;Защитные боксы для выключателей и розеток [50021022];300;;;
;Сенсорные переключатели [50021019] ;310;;;
; Дистанционный выключатель [50021012];240;;;
;Переключатель с датчиком [50021020] ;500;;;
; Интеллектуальный коммутатор/выключатель [50021023] ;700;;;
; Переключатели с регулировкой скорости [50021016] ;500;;;
; Переключатели/выключатели с приемом карты [50021026] ;500;;;
;;;;;
;;;;;
;Электророзетки [50013403];500;;;
; Розетки с переключателем [50020591];400;;;
;Телевизионные розетки [50020588];300;;;
;Компьютерные розетки [50020587] ;300;;;
; Телефонные розетки [50020589] ;250;;;
;Многофункциональные розетки [50020595] ;500;;;
;Аудио разъем [50020590] ;200;;;
; Компьютерные и телефонные розетки [50020592] ;300;;;
; ПК + TV выход [50020593] ;500;;;
; Телефон + TV выход [50020594];500;;;
;;;;;
;;;;;
; Противопожарная сигнализация с индикатором дыма [50021116];380;;;
;Управление сигналами тревоги [50021112] ;1100;;;
; Интеллектуальные импульсные системы [50021115] ;500;;;
; Магнитные сигнализации [50021110] ;100;;;
; Инфракрасные детекторы [50021108];300;;;
; Магнитная звуковая сигнализация [50021111] ;300;;;
; Детекторы вибрации [50021109] ;500;;;
; Охранное оборудование [50008403];1800;;;
; Внутренние сигнализации обнаружения газа [50021118] ;400;;;
;Противопожарная сигнализация с температурными индикаторами [50021117] ;500;;;
;Сигнализация при потере питания [50021119] ;500;;;
;;;;;
;;;;;
;Распределительные щиты [350615];700;;;
; Трансформаторы/Штепсельные розетки [50003472] ;300;;;
;Штепсельные вилки [50013407] ;100;;;
;;;;;
;;;;;
; Электрические комплектующие [50013408];500;;;
; Терминалы [50021001] ;200;;;
; Изоляционная лента [50022299] ;200;;;
; Предохранитель [50022300] ;200;;;
; Распределители (крабы) для телевизионных сетей [50021005];500;;;
; Счетчики для электроэнергии [50021008] ;1000;;;
;Тестеры [50021003] ;500;;;
; Гребенчатые шины для электромонтажа [50021009] ;5000;;;
;;;;;
;Выключатель [50021027] ;;;;
;;500;;;
;Реле ускорения [50003858] ;500;;;
; Температурные реле [50020982] ;300;;;
; Временные реле [50020981];340;;;
; Электромагнитные реле [50020979];500;;;
; Твердотельные реле [50020980] ;300;;;
;;;;;
; Трансформатор [50020975] ;2000;;;
;;;;;
; Электрокабели (с медной сердцевиной) [50013504] ;500;;;
;Видео кабель [50021037] ;500;;;
;Одиночная линия [50021034];500;;;
;Телефонная линия [50021039] ;500;;;
;Audio Line, акустический кабель [50021038];500;;;
; Сетевой кабель [50021036];500;;;
; Прочие кабели [50021040];500;;;
;;;;;
;;;;;
; Слаботочные монтажные коробки и распределительные щиты [50020996] ;500;;;
; Монтажные коробки и распределительные щиты для сильного тока [50020997];500;;;
;;;;;
;;;;;
; Электропитание противопожарных систем [50021149];500;;;
;Тревожная кнопка [50021145] ;300;;;
;Световые системы оповещения/Сирены [50021151] ;500;;;
; Устройства оповещения о тревоге [50021150];500;;;
; Противопожарные шкафчики и блоки управления [50021128] ;500;;;
; Модули противопожарной сигнализации [50021129] ;500;;;
; Усилители мощности пожарного радио [50021147] ;1000;;;
; Потолочные громкоговорители для пожарного радио [50021146] ;700;;;
;Шина панели управления [50021143] ;500;;;
; Прочие элементы противопожарной сигнализации/Звонки [50021152];500;;;
; Спринклерная головка [50021121] ;500;;;
;Противопожарные панели с дисплеем [50021141] ;500;;;
;Панели управления газового пожаротушения [50021142];500;;;
;Монтажная плата [50021144];500;;;
; Аксессуары для радиооповещения при пожаре [50021148] ;;;;
;;500;;;
;;;;;
; Переключатель для розеток [50020597] ;350;;;
; Переходник для встраивания розетки в стену [50020598];250;;;
;;;;;
;;;;;
;Трубы Фитинги [50021044] ;500;;;
;Защитные емкости для проводов и кабеля [50021043] ;250;;;
;;;;;
; Прочие переключатели [50013405] ;500;;;
;;;;;
;;;;;
;;;;;
;;;;;
22;Где профиль;;;;
;Прочие электронные комплектующие [50002928] ;400;;;
; Конденсаторы [50006526] ;400;;;
;Резисторы [50006525];400;;;
; Электронные материалы [50018892] ;400;;;
; Датчики [50015940] ;400;;;
; Переключающие элементы [50018821] ;400;;;
; Разъемы [50018820];400;;;
;Катушки индуктивности [50018816] ;400;;;
; PCB платы / PCB [50018824] ;400;;;
; Реле [50006524];400;;;
; Преобразователи частоты [50018891];400;;;
;Дисплеи [50018826];400;;;
; Потенциометры [50006527] ;400;;;
; Частотные элементы [50018818] ;400;;;
;;400;;;
; Магнитные компоненты [50018893];400;;;
; Трансформаторы [50018822] ;400;;;
;;400;;;
; Выпрямители [50023275] ;400;;;
;Катушка [50023274] ;400;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
